trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,mean_revert_v1,bearish,short,1578028500000,1578035700000,7167.540000,7220.415851,7220.415851,7061.011117,0.14184169,1016.655978,1016.655978,1024.155978,1020.405978,2040.811956,5.000000,10.036886,5000.000000,7.500000,52.875851,73.771267,0.150000,0.203331,-7.500000,1.020406,0.000000,-8.520406,2.014698,9,stop_loss,"mean_revert_v1_confirmed ext_atr=2.01, wick=0.49, close_location=0.95, reversal_progress_atr=0.70, vol=1.49, atr_bps=73.8",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,138.626841,-83.808153
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,mean_revert_v1,neutral,long,1586344500000,1586353500000,7263.230000,7218.823272,7218.823272,7404.945028,0.16860552,1224.620668,1224.620668,1217.133448,1220.877058,2441.754116,5.000000,9.969430,4991.479594,7.487219,44.406728,61.139091,0.150000,0.245342,-7.487219,1.220877,0.000000,-8.708096,3.191296,11,stop_loss,"mean_revert_v1_confirmed ext_atr=-3.19, wick=0.37, close_location=0.77, reversal_progress_atr=0.39, vol=1.12, atr_bps=61.1",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,185.112957,-71.108521
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,mean_revert_v1,bearish,short,1624365900000,1624365900000,29458.360000,30006.752332,30006.752332,28028.924362,0.01362922,401.494335,401.494335,408.968492,405.231414,810.462827,5.000000,10.093079,4982.771498,7.474157,548.392332,186.158473,0.150000,0.080577,-7.474157,0.405231,0.000000,-7.879389,2.606593,1,stop_loss,"mean_revert_v1_confirmed ext_atr=2.61, wick=0.57, close_location=0.84, reversal_progress_atr=0.63, vol=2.80, atr_bps=186.1",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,475.239381,-196.251553
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,mean_revert_v1,bearish,short,1645676100000,1645677000000,34769.000000,35163.778086,35163.778086,33918.933891,0.01890261,657.225020,657.225020,664.687358,660.956189,1321.912377,5.000000,10.056772,4974.892109,7.462338,394.778086,113.543124,0.150000,0.132108,-7.462338,0.660956,0.000000,-8.123294,2.153276,2,stop_loss,"mean_revert_v1_confirmed ext_atr=2.15, wick=0.47, close_location=0.71, reversal_progress_atr=0.35, vol=2.06, atr_bps=113.5",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,234.489663,-123.599895
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,mean_revert_v1,bearish,long,1652410800000,1652418900000,30130.500000,30830.096695,29784.429195,30830.096695,0.02152783,648.644261,648.644261,663.705060,656.174661,1312.349321,5.000000,10.116094,4966.768815,7.450153,346.070805,114.857306,0.150000,0.130597,15.060798,0.656175,0.000000,14.404624,2.021542,10,take_profit,"mean_revert_v1_confirmed ext_atr=-2.02, wick=0.65, close_location=0.86, reversal_progress_atr=0.20, vol=1.11, atr_bps=114.9",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,222.188877,222.072782
TRD-SIG-BT-00000011,SIG-BT-00000011,BTCUSDT,mean_revert_v1,bullish,long,1679573700000,1679574600000,27598.900000,27508.828423,27508.828423,27863.533408,0.08295358,2289.427682,2289.427682,2281.955922,2285.691802,4571.383604,5.000000,9.983682,4981.173438,7.471760,90.071577,32.635930,0.150000,0.459616,-7.471760,2.285692,0.000000,-9.757452,2.938035,2,stop_loss,"mean_revert_v1_confirmed ext_atr=-2.94, wick=0.54, close_location=0.79, reversal_progress_atr=0.28, vol=1.40, atr_bps=32.6",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,85.885491,-42.619612
TRD-SIG-BT-00000012,SIG-BT-00000012,BTCUSDT,mean_revert_v1,bullish,long,1679898600000,1679919300000,27765.900000,27817.600000,27688.746781,28003.327654,0.09665344,2683.669736,2683.669736,2688.666719,2686.168227,5372.336454,5.000000,10.009310,4971.415986,7.457124,77.153219,27.787041,0.150000,0.539820,4.996983,2.686168,0.000000,2.310815,3.077353,24,time_exit,"mean_revert_v1_confirmed ext_atr=-3.08, wick=0.39, close_location=0.91, reversal_progress_atr=0.35, vol=1.18, atr_bps=27.8",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,75.510520,8.610652
TRD-SIG-BT-00000013,SIG-BT-00000013,BTCUSDT,mean_revert_v1,bullish,long,1680249600000,1680265800000,27733.300000,28078.866877,27608.143665,28078.866877,0.05961017,1653.186687,1653.186687,1673.785987,1663.486337,3326.972674,5.000000,10.062302,4973.726801,7.460590,125.156335,45.128540,0.150000,0.332384,20.599300,1.663486,0.000000,18.935813,2.761082,19,take_profit,"mean_revert_v1_confirmed ext_atr=-2.76, wick=0.43, close_location=0.87, reversal_progress_atr=0.71, vol=2.49, atr_bps=45.1",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,114.603591,114.541289
TRD-SIG-BT-00000014,SIG-BT-00000014,BTCUSDT,mean_revert_v1,bullish,long,1680488100000,1680490800000,27764.900000,27650.208041,27650.208041,28076.958627,0.06529659,1812.953314,1812.953314,1805.464320,1809.208817,3618.417634,5.000000,9.979346,4992.662614,7.488994,114.691959,41.308256,0.150000,0.363124,-7.488994,1.809209,0.000000,-9.298203,2.720841,4,stop_loss,"mean_revert_v1_confirmed ext_atr=-2.72, wick=0.43, close_location=1.00, reversal_progress_atr=0.59, vol=1.46, atr_bps=41.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,102.393211,-51.287602
TRD-SIG-BT-00000015,SIG-BT-00000015,BTCUSDT,mean_revert_v1,bullish,long,1680554700000,1680554700000,27779.400000,27641.297787,27641.297787,28078.883006,0.05412691,1503.613193,1503.613193,1496.138146,1499.875669,2999.751339,5.000000,9.975143,4983.364411,7.475047,138.102213,49.713894,0.150000,0.301727,-7.475047,1.499876,0.000000,-8.974922,2.168561,1,stop_loss,"mean_revert_v1_confirmed ext_atr=-2.17, wick=0.60, close_location=0.86, reversal_progress_atr=0.29, vol=1.21, atr_bps=49.7",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,97.807586,-59.689037
