trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1578015540000,1578015600000,60000,6901.829358,6911.269795,6909.887818,6881.683208,1.551165,-14.643675,8.570558,11.779391,20.349949,-34.993624,2.500000,2,stop_loss,16.189580,-32.686373,-48.875953,8.005471,11.002735,19.008207,-32.686373,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-02,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582750200000,1582750320000,120000,8800.239600,8812.158073,8810.395994,8774.848616,1.222138,-14.566020,8.609913,11.833532,20.443445,-35.009465,2.500000,3,stop_loss,15.852606,-32.551476,-48.404082,8.005417,11.002708,19.008126,-32.551476,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-02,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582762560000,1582762860000,300000,8730.753500,8695.012023,8745.745553,8693.273368,0.822102,29.383130,5.730301,4.300665,10.030966,19.352164,2.500000,6,take_profit,29.928863,26.962009,-2.966854,7.983625,5.991814,13.975439,26.962009,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-02,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582765380000,1582765500000,120000,8617.756104,8574.762429,8635.639418,8573.047819,0.691895,29.747102,4.758166,3.571600,8.329766,21.417336,2.500000,3,take_profit,38.879265,35.919572,-2.959693,7.980044,5.990024,13.970068,35.919572,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-02,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582882860000,1582883160000,300000,8662.897074,8627.679019,8677.674372,8625.953829,0.840946,29.616497,5.816179,4.365097,10.181277,19.435220,2.500000,6,take_profit,29.645370,26.678290,-2.967080,7.983738,5.991871,13.975609,26.678290,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-02,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582890900000,1582890960000,60000,8566.236410,8578.270356,8576.555045,8540.439823,1.209027,-14.549361,8.291266,11.395398,19.686664,-34.236024,2.500000,2,stop_loss,17.114260,-33.056542,-50.170802,8.005619,11.002809,19.008428,-33.056542,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-02,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582891320000,1582891740000,420000,8568.475962,8540.894798,8580.191563,8539.186960,1.057557,29.168650,7.237653,5.431158,12.668811,16.499839,2.500000,8,take_profit,21.182277,18.208425,-2.973852,7.987124,5.993564,13.980688,18.208425,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-02,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582892580000,1582892640000,60000,8468.335994,8492.837039,8491.138811,8411.328952,0.545159,-13.356968,3.698615,5.080921,8.779536,-22.136504,2.500000,2,stop_loss,54.317879,-47.949896,-102.267775,8.011573,11.005786,19.017359,-47.949896,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-02,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582983420000,1582983540000,120000,8622.595136,8633.443320,8631.716976,8599.790535,1.356724,-14.717994,9.364674,12.871276,22.235950,-36.953944,2.500000,3,stop_loss,13.447492,-31.588661,-45.036152,8.005032,11.002516,19.007548,-31.588661,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2020-03,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1583025000000,1583025360000,360000,8537.072244,8550.442763,8548.733017,8507.920312,1.053398,-14.084482,7.199983,9.895047,17.095030,-31.179512,2.500000,7,stop_loss,21.147459,-34.671112,-55.818570,8.006265,11.003132,19.009397,-34.671112,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
